dist;name;north_Y_;east_X_;height;layer;Type;Width;Dam_width;Slope_cleaned;Dam_Slope;SlopeMovWin_cleaned;Dam_SlopeMovWin;Sinuosity_MovWin;Dam_SinuosityMovWin;Sinuosity140;Dam_Sinuosity140;SinuosityCustom;Dam_SinuosityCustom
3800;;;;;;No Dam;38;NA;0.36;NA;0.408;NA;1.007;NA;1.012;NA;1.073;NA
3810;;;;;;No Dam;39;NA;0.36;NA;0.293;NA;1.009;NA;1.012;NA;1.073;NA
3820;;;;;;No Dam;40;NA;1.158;NA;0.652;NA;1.011;NA;1.012;NA;1.073;NA
3830;;;;;;No Dam;41;NA;1.158;NA;1.089;NA;1.013;NA;1.012;NA;1.073;NA
3840;;;;;;No Dam;40;NA;0.702;NA;1.245;NA;1.013;NA;1.012;NA;1.073;NA
3850;;;;;;No Dam;41;NA;0.702;NA;1.001;NA;1.012;NA;1.012;NA;1.073;NA
3860;;;;;;No Dam;39;NA;0.953;NA;0.799;NA;1.009;NA;1.012;NA;1.073;NA
3870;;;;;;No Dam;38;NA;0.953;NA;1.015;NA;1.006;NA;1.012;NA;1.073;NA
3880;;;;;;No Dam;37;NA;1.102;NA;0.743;NA;1.005;NA;1.012;NA;1.073;NA
3890;;;;;;No Dam;37;NA;1.102;NA;0.76;NA;1.004;NA;1.012;NA;1.073;NA
3900;;;;;;No Dam;36;NA;0.981;NA;1.418;NA;1.003;NA;1.012;NA;1.073;NA
3906.49224;;;;;;Ice Dam;37;37;0.981;NA;1.222;NA;1.003;NA;1.012;NA;1.073;NA
3910;;;;;;No Dam;37;NA;0.749;NA;0.768;NA;1.003;NA;1.006;NA;1.012;NA
3920;GPS0014;6986193.963;562835.423;118.225;soknaicedamsurvy;No Dam;39;NA;0.749;0.749;0.615;0.615;1.004;1.004;1.006;1.006;1.012;1.12.
3930;;;;;;No Dam;40;NA;0.749;NA;0.567;NA;1.004;NA;1.006;NA;1.012;NA
3940;;;;;;No Dam;40;NA;0.77;NA;0.524;NA;1.005;NA;1.006;NA;1.012;NA
3950;;;;;;No Dam;40;NA;0.77;NA;0.712;NA;1.005;NA;1.006;NA;1.012;NA
3960;;;;;;No Dam;39;NA;0.396;NA;0.74;NA;1.005;NA;1.006;NA;1.012;NA
3970;;;;;;No Dam;41;NA;0.396;NA;0.729;NA;1.004;NA;1.006;NA;1.012;NA
3980;;;;;;No Dam;42;NA;0.518;NA;0.404;NA;1.005;NA;1.006;NA;1.012;NA
3990;;;;;;No Dam;44;NA;0.518;NA;0.372;NA;1.006;NA;1.006;NA;1.012;NA
4000;;;;;;No Dam;45;NA;0.379;NA;0.448;NA;1.007;NA;1.006;NA;1.012;NA
4010;;;;;;No Dam;47;NA;0.379;NA;0.456;NA;1.008;NA;1.006;NA;1.012;NA
4020;;;;;;No Dam;49;NA;0.951;NA;0.696;NA;1.008;NA;1.006;NA;1.012;NA
4030;;;;;;No Dam;52;NA;0.951;NA;1.153;NA;1.009;NA;1.006;NA;1.012;NA
4040;;;;;;No Dam;51;NA;1.41;NA;1.301;NA;1.009;NA;1.006;NA;1.012;NA
4050;;;;;;No Dam;47;NA;1.41;NA;1.243;NA;1.008;NA;1.006;NA;1.012;NA
4060;;;;;;No Dam;44;NA;1.987;NA;1.61;NA;1.006;NA;1.003;NA;1.012;NA
4070;;;;;;No Dam;42;NA;1.987;NA;2.06;NA;1.005;NA;1.003;NA;1.012;NA
4080;;;;;;No Dam;39;NA;1.183;NA;1.784;NA;1.004;NA;1.003;NA;1.012;NA
4089.876468;;;;;;Ice Dam;39;39;1.183;NA;0.872;NA;1.004;NA;1.003;NA;1.012;NA
4090;;;;;;No Dam;39;NA;0.749;NA;0.732;NA;1.004;NA;1.003;NA;1.012;NA
4100;GPS0015;6986366.641;562812.783;113.077;soknaicedamsurvy;No Dam;40;NA;0.749;0.749;0.525;0.525;1.003;1.003;1.003;1.003;1.012;1.12.
4110;;;;;;No Dam;41;NA;0.749;NA;0.525;NA;1.003;NA;1.003;NA;1.012;NA
4120;;;;;;No Dam;47;NA;0.812;NA;1.265;NA;1.003;NA;1.003;NA;1.012;NA
4130;;;;;;No Dam;47;NA;0.812;NA;0.92;NA;1.003;NA;1.003;NA;1.012;NA
4140;;;;;;No Dam;46;NA;0.53;NA;0.369;NA;1.003;NA;1.003;NA;1.012;NA
4150;;;;;;No Dam;46;NA;0.53;NA;0.462;NA;1.003;NA;1.003;NA;1.012;NA
4160;;;;;;No Dam;46;NA;0.451;NA;0.367;NA;1.003;NA;1.003;NA;1.012;NA
4170;;;;;;No Dam;47;NA;0.451;NA;0.458;NA;1.003;NA;1.003;NA;1.012;NA
4180;;;;;;No Dam;46;NA;0.604;NA;0.374;NA;1.003;NA;1.003;NA;1.076;NA
4190;;;;;;No Dam;44;NA;0.604;NA;0.587;NA;1.003;NA;1.003;NA;1.076;NA
4200;;;;;;No Dam;43;NA;0.858;NA;1.148;NA;1.003;NA;1.034;NA;1.076;NA
4210;;;;;;No Dam;41;NA;0.858;NA;1.081;NA;1.005;NA;1.034;NA;1.076;NA
4220;;;;;;No Dam;42;NA;1.097;NA;1.072;NA;1.007;NA;1.034;NA;1.076;NA
4230;;;;;;No Dam;41;NA;1.097;NA;1.132;NA;1.012;NA;1.034;NA;1.076;NA
4240;;;;;;No Dam;39;NA;1.077;NA;1.027;NA;1.016;NA;1.034;NA;1.076;NA
4250;;;;;;No Dam;37;NA;1.077;NA;1.227;NA;1.023;NA;1.034;NA;1.076;NA
4260;;;;;;No Dam;37;NA;1.35;NA;1.369;NA;1.028;NA;1.034;NA;1.076;NA
4270;;;;;;No Dam;38;NA;1.35;NA;1.114;NA;1.037;NA;1.034;NA;1.076;NA
4280;;;;;;No Dam;37;NA;1.399;NA;1.39;NA;1.044;NA;1.034;NA;1.076;NA
4290;;;;;;No Dam;36;NA;1.399;NA;1.421;NA;1.056;NA;1.034;NA;1.076;NA
4300;;;;;;No Dam;36;NA;0.947;NA;1.034;NA;1.063;NA;1.034;NA;1.076;NA
4310;;;;;;No Dam;35;NA;0.947;NA;0.811;NA;1.058;NA;1.034;NA;1.076;NA
4320;;;;;;No Dam;37;NA;1.001;NA;0.936;NA;1.057;NA;1.034;NA;1.076;NA
4330;;;;;;No Dam;42;NA;1.001;NA;1.136;NA;1.053;NA;1.034;NA;1.076;NA
4340;;;;;;No Dam;46;NA;1.246;NA;1.1;NA;1.047;NA;1.047;NA;1.076;NA
4350;;;;;;No Dam;49;NA;1.246;NA;1.095;NA;1.044;NA;1.047;NA;1.076;NA
4360;;;;;;No Dam;48;NA;0.568;NA;1.043;NA;1.043;NA;1.047;NA;1.076;NA
4370;;;;;;No Dam;43;NA;0.568;NA;0.717;NA;1.043;NA;1.047;NA;1.076;NA
4380;;;;;;No Dam;36;NA;1.198;NA;0.759;NA;1.042;NA;1.047;NA;1.076;NA
4388.392176;;;;;;Ice Dam;25;25;1.198;NA;1.236;NA;1.042;NA;1.047;NA;1.076;NA
4390;;;;;;No Dam;25;NA;1.659;NA;1.687;NA;1.043;NA;1.047;NA;1.076;NA
4400;GPS0016;6986650.874;562832.499;111.408;soknaicedamsurvy;No Dam;23;NA;1.659;1.659;2.064;2.064;1.047;1.047;1.047;1.047;1.076;1.76.
4410;;;;;;No Dam;22;NA;1.659;NA;2.072;NA;1.047;NA;1.047;NA;1.076;NA
4412.656226;;;;;;Ice Dam;22;22;1.707;NA;1.663;NA;1.048;NA;1.047;NA;1.076;NA
4420;;;;;;No Dam;22;NA;1.707;NA;1.254;NA;1.046;NA;1.047;NA;1.076;NA
4430;GPS0017;6986670.689;562840.81;111.799;soknaicedamsurvy;No Dam;24;NA;1.707;1.707;1.107;1.107;1.046;1.046;1.047;1.047;1.076;1.76.
4440;;;;;;No Dam;25;NA;0.81;NA;1.14;NA;1.045;NA;1.047;NA;1.076;NA
4450;;;;;;No Dam;53;NA;0.81;NA;1.208;NA;1.038;NA;1.047;NA;1.076;NA
4460;;;;;;No Dam;49;NA;1.579;NA;1.327;NA;1.034;NA;1.047;NA;1.076;NA
4470;;;;;;No Dam;41;NA;1.579;NA;1.193;NA;1.033;NA;1.047;NA;1.076;NA
4480;;;;;;No Dam;38;NA;1.781;NA;1.543;NA;1.039;NA;1.048;NA;1.076;NA
4490;;;;;;No Dam;34;NA;1.781;NA;1.685;NA;1.044;NA;1.048;NA;1.076;NA
4491.832329;;;;;;Ice Dam;33;33;2.021;NA;2.03;NA;1.048;NA;1.048;NA;1.076;NA
4500;;;;;;No Dam;32;NA;2.021;NA;2.991;NA;1.05;NA;1.048;NA;1.076;NA
4510;GPS0018;6986741.534;562875.123;112.566;soknaicedamsurvy;No Dam;25;NA;2.021;2.021;2.59;2.59;1.051;1.051;1.048;1.048;1.076;1.76.
4520;;;;;;No Dam;25;NA;0.994;NA;1.622;NA;1.054;NA;1.048;NA;1.076;NA
4530;;;;;;No Dam;27;NA;0.994;NA;0.072;NA;1.055;NA;1.048;NA;1.011;NA
4540;;;;;;No Dam;29;NA;0.731;NA;0.173;NA;1.053;NA;1.048;NA;1.011;NA
4550;;;;;;No Dam;31;NA;0.731;NA;0.949;NA;1.046;NA;1.048;NA;1.011;NA
4560;;;;;;No Dam;34;NA;1.242;NA;1.767;NA;1.04;NA;1.048;NA;1.011;NA
4565.625868;;;;;;Ice Dam;37;37;1.242;NA;1.573;NA;1.034;NA;1.048;NA;1.011;NA
4570;;;;;;No Dam;38;NA;1.939;NA;1.511;NA;1.02;NA;1.048;NA;1.011;NA
4580;GPS0019;6986812.379;562897.388;101.403;soknaicedamsurvy;No Dam;38;NA;1.939;1.939;1.759;1.759;1.011;1.011;1.048;1.048;1.011;1.11.
4590;;;;;;No Dam;37;NA;1.939;NA;1.587;NA;1.004;NA;1.048;NA;1.011;NA
